description,filename,id,species,source,species_code,cleaned_filename,contigs_greater_0_bp,contigs_greater_1000_bp,contigs_greater_5000_bp,contigs_greater_10000_bp,contigs_greater_25000_bp,contigs_greater_50000_bp,total_length_greater_0_bp,total_length_greater_1000_bp,total_length_greater_5000_bp,total_length_greater_10000_bp,total_length_greater_25000_bp,total_length_greater_50000_bp,total_contigs,largest_contig,total_length,N50,N75,L50,L75,number_Ns_per_100_kbp
"Pseudomonas putida strain ABAC8 scaffold1, whole genome shotgun sequence",GCF_001467305.1_ASM146730v1_genomic.fna,NZ_LKGZ01000001.1,putida,REFSEQ,22,22_LKGZ01000001,66,27,17,16,15,15,5543802,5529574,5501463,5496221,5479835,5479835,35,931804,5535149,640996,275903,4,7,1.84
"Pseudomonas sp. F51 Scaffold1, whole genome shotgun sequence",GCF_003131185.1_ASM313118v1_genomic.fna,NZ_QFFU01000001.1,sp.,REFSEQ,4,4_QFFU01000001,72,58,46,44,41,35,6445752,6436308,6411834,6397786,6355843,6127919,72,695081,6445752,214983,116314,9,20,0.0
"Pseudomonas sp. 286 isolate p1.A4, whole genome shotgun sequence",GCF_900582645.1_p1.A4_genomic.fna,NZ_UTIV01000058.1,sp.,REFSEQ,4,4_UTIV01000058,58,14,11,11,11,11,5951671,5937070,5930726,5930726,5930726,5930726,17,2685195,5939203,729647,623598,2,4,0.0
"Pseudomonas sp. CFT9 C9848_204.0_sampleT9, whole genome shotgun sequence",GCF_000416255.1_ASM41625v1_genomic.fna,NZ_ATLM01000001.1,sp.,REFSEQ,4,4_ATLM01000001,67,64,59,58,48,38,6205326,6203474,6188075,6180692,6007703,5644740,66,373852,6205092,201322,91291,12,24,0.02
"Pseudomonas aeruginosa strain CCBH18249 scaffold1.1, whole genome shotgun sequence",GCF_004146325.1_ASM414632v1_genomic.fna,NZ_SELB01000001.1,aeruginosa,REFSEQ,1,1_SELB01000001,99,89,65,57,52,38,7003379,6996189,6930802,6870959,6788103,6218574,99,574733,7003379,182689,106587,13,25,4.07
"Pseudomonas aeruginosa strain X24509 IPC1184_1.1, whole genome shotgun sequence",GCF_003834355.1_ASM383435v1_genomic.fna,NZ_NSOP01000001.1,aeruginosa,REFSEQ,1,1_NSOP01000001,37,34,29,23,20,17,6405850,6403707,6385673,6347662,6295612,6158676,37,1133761,6405850,521474,236532,4,9,2.44
"Pseudomonas aeruginosa strain WH-SGI-V-07648 WH-SGI-V-07648_contig1, whole genome shotgun sequence",GCF_001453495.1_WH-SGI-V-07648_genomic.fna,NZ_LLRT01000001.1,aeruginosa,REFSEQ,1,1_LLRT01000001,184,86,54,46,41,33,6852935,6807460,6731626,6681681,6600783,6315652,123,735746,6831310,223396,110744,9,20,0.0
"Pseudomonas aeruginosa strain PaEB1 NODE_10_length_284494_cov_39.1956, whole genome shotgun sequence",GCF_002216505.1_ASM221650v1_genomic.fna,NZ_NKXV01000010.1,aeruginosa,REFSEQ,1,1_NKXV01000010,65,49,38,36,34,28,6336070,6324359,6300359,6289533,6257239,6048110,65,735709,6336070,304819,142222,8,14,0.0
"Pseudomonas aeruginosa strain CCF_776 contig_1, whole genome shotgun sequence",GCF_001910305.1_ASM191030v1_genomic.fna,NZ_MPUO01000001.1,aeruginosa,REFSEQ,1,1_MPUO01000001,168,160,124,109,84,46,6660181,6654656,6572213,6467741,6025281,4602651,168,237886,6660181,86579,44561,28,55,0.0
"Pseudomonas aeruginosa strain Pa359 K47_S99_R1__paired__contig_1, whole genome shotgun sequence",GCF_003669885.1_ASM366988v1_genomic.fna,NZ_NRBZ01000001.1,aeruginosa,REFSEQ,1,1_NRBZ01000001,708,256,76,64,57,42,7428023,7100708,6829572,6751961,6645285,6101633,708,679377,7428023,133556,74121,15,34,177.96
"Pseudomonas aeruginosa strain Pa1175 K11_S94_R1__paired__contig_1, whole genome shotgun sequence",GCF_003670055.1_ASM367005v1_genomic.fna,NZ_NRBT01000001.1,aeruginosa,REFSEQ,1,1_NRBT01000001,98,87,66,59,53,41,6838612,6830299,6785960,6739505,6636145,6149266,98,368962,6838612,165731,91414,14,28,75.38
"Pseudomonas sp. GV086 Ga0215789_101, whole genome shotgun sequence",GCF_003387515.1_ASM338751v1_genomic.fna,NZ_QUNV01000001.1,sp.,REFSEQ,4,4_QUNV01000001,38,38,29,26,26,25,6597513,6597513,6578496,6559116,6559116,6528957,38,822047,6597513,371613,226066,7,13,31.48
"Pseudomonas savastanoi pv. phaseolicola strain ICMP 637 PphICMP637_Contig_1, whole genome shotgun sequence",GCF_003700295.1_ASM370029v1_genomic.fna,NZ_RBRG01000090.1,savastanoi,REFSEQ,8,8_RBRG01000090,260,207,150,130,82,45,5864365,5841236,5700251,5568782,4779284,3484026,223,154698,5852343,60992,29914,35,68,43.78
"Pseudomonas aeruginosa strain MRSN20176 MRSN20176A_contig00001, whole genome shotgun sequence",GCF_003969105.1_ASM396910v1_genomic.fna,NZ_RXUW01000001.1,aeruginosa,REFSEQ,1,1_RXUW01000001,290,173,114,100,76,44,6717057,6664976,6522774,6423610,6019341,4864595,209,248453,6690944,94443,45764,23,48,0.0
"Pseudomonas stutzeri strain PS_134 NODE_10_length_152733_cov_20.984, whole genome shotgun sequence",GCF_003936055.1_ASM393605v1_genomic.fna,NZ_RHRF01000010.1,stutzeri,REFSEQ,2,2_RHRF01000010,61,49,35,32,25,22,4522165,4513807,4494240,4471907,4340235,4237822,61,548566,4522165,285604,134599,6,12,10.92
"Pseudomonas aeruginosa strain W60856, complete genome",GCF_001516225.2_ASM151622v2_genomic.fna,NZ_CP008864.2,aeruginosa,REFSEQ,1,1_CP008864,1,1,1,1,1,1,6896700,6896700,6896700,6896700,6896700,6896700,1,6896700,6896700,6896700,6896700,1,1,0.0
"Pseudomonas aeruginosa strain PD1 IPC1377_1.1, whole genome shotgun sequence",GCF_003974645.1_ASM397464v1_genomic.fna,NZ_RXAZ01000001.1,aeruginosa,REFSEQ,1,1_RXAZ01000001,27,26,23,18,17,15,6578688,6577948,6568038,6537433,6525849,6463010,27,1131447,6578688,777188,447184,4,6,1.44
"Pseudomonas aeruginosa strain S14b NODE_10_length_191979_cov_14.5336, whole genome shotgun sequence",GCF_002326525.1_ASM232652v1_genomic.fna,NZ_NQZM01000010.1,aeruginosa,REFSEQ,1,1_NQZM01000010,94,77,64,58,51,38,6375524,6364406,6335668,6299742,6194389,5706484,91,465143,6374281,177734,85620,11,24,0.0
"Pseudomonas aeruginosa strain 152504sp2 IPC103_1.1, whole genome shotgun sequence",GCF_003840095.1_ASM384009v1_genomic.fna,NZ_NSZX01000001.1,aeruginosa,REFSEQ,1,1_NSZX01000001,40,34,28,24,22,19,6639354,6635362,6620992,6593806,6557779,6441139,40,912436,6639354,417824,254902,5,10,0.8
"Pseudomonas sp. 286 isolate p1.F1, whole genome shotgun sequence",GCF_900583155.1_p1.F1_genomic.fna,NZ_UTKT01000183.1,sp.,REFSEQ,4,4_UTKT01000183,183,52,41,38,36,32,6296139,6248414,6227467,6204889,6178562,6033840,64,473287,6256639,202625,142902,9,18,0.03
"Pseudomonas sp. HMSC16B01 Scaffold0, whole genome shotgun sequence",GCF_001808305.1_ASM180830v1_genomic.fna,NZ_KV792699.1,sp.,REFSEQ,4,4_KV792699,145,130,94,82,65,48,6855127,6844868,6759653,6686503,6368606,5750633,145,297824,6855127,117963,66213,18,38,77.31
"Pseudomonas aeruginosa isolate 2.5% 6, whole genome shotgun sequence",GCF_001374195.1_286_2_5Pc_6_contigs_500_genomic.fna,NZ_CUYA01000001.1,aeruginosa,REFSEQ,1,1_CUYA01000001,65,57,42,37,35,30,6481013,6475408,6442485,6413495,6382320,6205315,65,564117,6481013,273926,180016,8,15,0.0
"Pseudomonas aeruginosa strain PABL092 NODE_100_length_5132_cov_63.093, whole genome shotgun sequence",GCF_003410435.1_ASM341043v1_genomic.fna,NZ_QVBE01000099.1,aeruginosa,REFSEQ,1,1_QVBE01000099,214,141,99,85,65,49,6734993,6703421,6602263,6510529,6174644,5606691,159,325767,6718007,106314,59289,19,39,0.0
"Pseudomonas aeruginosa DNA, complete genome, strain: NCGM 1984",GCF_000829255.1_ASM82925v1_genomic.fna,NZ_AP014646.1,aeruginosa,REFSEQ,1,1_AP014646,1,1,1,1,1,1,6850954,6850954,6850954,6850954,6850954,6850954,1,6850954,6850954,6850954,6850954,1,1,0.0
"Pseudomonas stutzeri strain 28a24, complete genome",GCF_000590475.1_ASM59047v1_genomic.fna,NZ_CP007441.1,stutzeri,REFSEQ,2,2_CP007441,1,1,1,1,1,1,4731359,4731359,4731359,4731359,4731359,4731359,1,4731359,4731359,4731359,4731359,1,1,0.68
Pseudomonas sp. DRA525 genome,GCF_001908395.1_ASM190839v1_genomic.fna,NZ_CP018743.1,sp.,REFSEQ,4,4_CP018743,1,1,1,1,1,1,6267580,6267580,6267580,6267580,6267580,6267580,1,6267580,6267580,6267580,6267580,1,1,69.39
"Pseudomonas tolaasii isolate DSM_19342T, whole genome shotgun sequence",GCF_900625075.1_DSM_19342T_genomic.fna,NZ_UYXX01000001.1,tolaasii,REFSEQ,78,78_UYXX01000001,46,37,27,23,20,20,6752154,6747257,6729189,6705247,6649884,6649884,42,980200,6750616,463584,300184,5,10,0.0
"Pseudomonas aeruginosa strain TC4411 Tc4411_S110_R1_001__paired__contig_1, whole genome shotgun sequence",GCF_008033805.1_ASM803380v1_genomic.fna,NZ_VFEZ01000001.1,aeruginosa,REFSEQ,1,1_VFEZ01000001,70,66,51,45,42,31,6751132,6748500,6712147,6677919,6622886,6215357,70,549065,6751132,269280,124032,9,18,48.36
"Pseudomonas aeruginosa strain AZPAE12421 AZPAE12421_contig_1, whole genome shotgun sequence",GCF_000797305.1_AZPAE12421_genomic.fna,NZ_JTZT01000001.1,aeruginosa,REFSEQ,1,1_JTZT01000001,105,89,71,63,49,37,6243887,6231980,6192411,6137274,5886681,5475321,105,509173,6243887,147753,80287,12,26,28.25
"Pseudomonas chlororaphis strain PA23, complete genome",GCF_000698865.1_ASM69886v1_genomic.fna,NZ_CP008696.1,chlororaphis,REFSEQ,14,14_CP008696,1,1,1,1,1,1,7122173,7122173,7122173,7122173,7122173,7122173,1,7122173,7122173,7122173,7122173,1,1,0.0
"Pseudomonas aeruginosa strain PA86 contig000001, whole genome shotgun sequence",GCF_003332485.1_ASM333248v1_genomic.fna,NZ_QDGD01000001.1,aeruginosa,REFSEQ,1,1_QDGD01000001,75,53,37,33,29,24,6170765,6157862,6126150,6101662,6035315,5830939,71,775462,6169368,317862,167029,6,12,0.0
"Pseudomonas syringae pv. actinidiae strain IPV-BO-9286 IPVBO9286_contig_1, whole genome shotgun sequence",GCF_002750435.1_ASM275043v1_genomic.fna,NZ_PEIO01000001.1,syringae,REFSEQ,0,0_PEIO01000001,296,272,193,157,81,38,6171732,6153079,5965874,5697496,4393412,2838751,296,141762,6171732,44811,22182,44,92,0.0
"Pseudomonas syringae pv. apii strain 1089_5 Pap1089_5_Contig_1, whole genome shotgun sequence",GCF_003699225.1_ASM369922v1_genomic.fna,NZ_RBPL01000073.1,syringae,REFSEQ,0,0_RBPL01000073,123,102,70,63,52,45,6194328,6185604,6107517,6058533,5863268,5592131,108,328213,6190344,129874,88980,17,31,17.85
"Pseudomonas sp. GW460-LB6 NODE_100_length_344_cov_25.6929, whole genome shotgun sequence",GCF_002881975.1_GW460-LB6_genomic.fna,NZ_POEF01000100.1,sp.,REFSEQ,4,4_POEF01000100,127,91,79,70,52,39,6601263,6589197,6562465,6503598,6214288,5733198,94,511779,6591561,148578,84792,12,27,0.0
"Pseudomonas aeruginosa isolate 312, whole genome shotgun sequence",GCF_900146415.1_312_genomic.fna,NZ_FRPN01000109.1,aeruginosa,REFSEQ,1,1_FRPN01000109,111,97,77,73,61,41,6678575,6670539,6628853,6606868,6392540,5667178,103,614821,6674984,153021,78362,14,31,0.0
"Pseudomonas sp. 286 isolate p6.H8, whole genome shotgun sequence",GCF_900600505.1_p6.H8_genomic.fna,NZ_UVZU01000073.1,sp.,REFSEQ,4,4_UVZU01000073,73,16,12,12,12,11,6072873,6054417,6046982,6046982,6046982,6004140,18,1426654,6055654,848013,496763,3,6,0.0
"Pseudomonas sp. 286 isolate p7.D6, whole genome shotgun sequence",GCF_900600925.1_p7.D6_genomic.fna,NZ_UWBH01000093.1,sp.,REFSEQ,4,4_UWBH01000093,96,65,63,56,49,33,5841345,5832624,5826065,5782168,5677110,5088978,65,428519,5832624,201805,86604,10,23,0.0
"Pseudomonas aeruginosa strain PA102 contig000001, whole genome shotgun sequence",GCF_003332585.1_ASM333258v1_genomic.fna,NZ_QDGU01000001.1,aeruginosa,REFSEQ,1,1_QDGU01000001,61,47,34,30,29,23,6245346,6236261,6209846,6187879,6164122,5949126,57,685839,6243717,408343,212037,6,11,0.0
"Pseudomonas protegens strain GW456-12-1-14-LB1 NODE_100_length_8614_cov_39.0835, whole genome shotgun sequence",GCF_002901745.1_ASM290174v1_genomic.fna,NZ_PPSI01000100.1,protegens,REFSEQ,45,45_PPSI01000100,256,132,114,99,78,47,6945648,6907873,6857642,6754282,6385124,5295476,142,272824,6914070,93464,54128,22,45,0.0
"Pseudomonas sp. URMO17WK12:I1 F471DRAFT_scaffold00001.1, whole genome shotgun sequence",GCF_003253695.1_ASM325369v1_genomic.fna,NZ_QKZB01000001.1,sp.,REFSEQ,4,4_QKZB01000001,15,15,12,12,12,12,4954515,4954515,4945781,4945781,4945781,4945781,15,894910,4954515,491910,471902,4,6,17.56
"Pseudomonas aeruginosa strain 173 scaffold_0, whole genome shotgun sequence",GCF_002312055.1_ASM231205v1_genomic.fna,NZ_MWXG01000001.1,aeruginosa,REFSEQ,1,1_MWXG01000001,52,49,43,41,40,33,6594105,6592108,6577644,6566763,6546868,6260710,52,483321,6594105,234699,153175,10,19,8.55
"Pseudomonas putida T2-2 Contig1, whole genome shotgun sequence",GCF_000710785.1_De_novo_Assembly_genomic.fna,NZ_JALX01000001.1,putida,REFSEQ,22,22_JALX01000001,389,303,239,181,74,17,5524229,5489623,5325331,4921064,3078423,1090894,321,97690,5501988,28751,17196,62,124,0.0
"Pseudomonas aeruginosa strain C7(T3583) IPC1112_1.1, whole genome shotgun sequence",GCF_003835455.1_ASM383545v1_genomic.fna,NZ_NSPP01000001.1,aeruginosa,REFSEQ,1,1_NSPP01000001,58,51,42,35,31,26,6908303,6903342,6873221,6825077,6757956,6577138,58,679729,6908303,270739,220812,8,15,1.95
"Pseudomonas aeruginosa strain Jp54 IPC747_1.1, whole genome shotgun sequence",GCF_003836565.1_ASM383656v1_genomic.fna,NZ_NSTQ01000001.1,aeruginosa,REFSEQ,1,1_NSTQ01000001,59,55,43,35,28,21,6959106,6956288,6923829,6868380,6746273,6473225,59,1124644,6959106,331588,198853,6,12,5.91
"Pseudomonas aeruginosa strain WH-SGI-V-07693 WH-SGI-V-07693_contig1, whole genome shotgun sequence",GCF_001452565.1_WH-SGI-V-07693_genomic.fna,NZ_LLSN01000001.1,aeruginosa,REFSEQ,1,1_LLSN01000001,200,120,72,54,45,37,7105181,7067977,6942626,6829416,6691879,6415037,146,490843,7086365,198790,116014,12,25,0.0
"Pseudomonas chlororaphis subsp. aureofaciens strain ChPhzS23 chromosome, complete genome",GCF_003851425.1_ASM385142v1_genomic.fna,NZ_CP027748.1,chlororaphis,REFSEQ,14,14_CP027748,1,1,1,1,1,1,6756093,6756093,6756093,6756093,6756093,6756093,1,6756093,6756093,6756093,6756093,1,1,0.0
"Pseudomonas sp. 286 isolate p22.A3, whole genome shotgun sequence",GCF_900585235.1_p22.A3_genomic.fna,NZ_UTSO01000034.1,sp.,REFSEQ,4,4_UTSO01000034,34,17,14,14,14,14,5943716,5937822,5931569,5931569,5931569,5931569,21,1515491,5940188,730710,274443,3,6,0.0
"Pseudomonas sp. 286 isolate p22.D1, whole genome shotgun sequence",GCF_900585415.1_p22.D1_genomic.fna,NZ_UTTK01000511.1,sp.,REFSEQ,4,4_UTTK01000511,511,443,252,149,62,22,5943172,5905371,5395083,4645783,3254250,1874118,478,162385,5930501,29398,11300,52,131,0.0
"Pseudomonas aeruginosa strain PASGNDM593 PASGNDM593_contig_1, whole genome shotgun sequence",GCF_002134985.1_ASM213498v1_genomic.fna,NZ_NDFY01000054.1,aeruginosa,REFSEQ,1,1_NDFY01000054,82,82,57,53,47,40,6806039,6806039,6744027,6718839,6607032,6359696,82,380099,6806039,166163,118198,14,26,0.0
"Pseudomonas sp. 286 isolate p2.H1, whole genome shotgun sequence",GCF_900589745.1_p2.H1_genomic.fna,NZ_UUKE01000131.1,sp.,REFSEQ,4,4_UUKE01000131,132,51,37,33,30,28,5952421,5922064,5891075,5857911,5810771,5739313,63,759054,5929967,279815,190719,8,14,0.02
"Pseudomonas segetis strain CIP 108523, whole genome shotgun sequence",GCF_900188155.1_IMG-taxon_2671180091_annotated_assembly_genomic.fna,NZ_FZOG01000016.1,segetis,REFSEQ,179,179_FZOG01000016,16,16,12,11,10,10,4725422,4725422,4715921,4705978,4690462,4690462,16,1281898,4725422,1179970,320967,2,5,46.03
"Pseudomonas aeruginosa strain WH-SGI-V-07699 WH-SGI-V-07699_contig1, whole genome shotgun sequence",GCF_001452615.1_WH-SGI-V-07699_genomic.fna,NZ_LLST01000001.1,aeruginosa,REFSEQ,1,1_LLST01000001,130,65,55,44,39,32,6749021,6718400,6698924,6623836,6540911,6274633,86,557983,6732817,224069,134580,9,18,0.0
"Pseudomonas aeruginosa isolate MAL, whole genome shotgun sequence",GCF_901035125.1_MAL_genomic.fna,NZ_CAAKMR010000001.1,aeruginosa,REFSEQ,1,1_CAAKMR010000001,169,67,55,47,43,37,6813436,6790064,6767547,6719144,6635558,6405228,72,582417,6793700,235376,117854,11,21,0.0
"Pseudomonas aeruginosa strain A11 IPC690_1.1, whole genome shotgun sequence",GCF_003836945.1_ASM383694v1_genomic.fna,NZ_NSUX01000001.1,aeruginosa,REFSEQ,1,1_NSUX01000001,28,25,21,21,19,18,6253677,6251634,6243840,6243840,6210468,6182291,28,892724,6253677,467801,410743,5,8,1.23
"Pseudomonas sp. 286 isolate p22.D3, whole genome shotgun sequence",GCF_900585425.1_p22.D3_genomic.fna,NZ_UTTL01000352.1,sp.,REFSEQ,4,4_UTTL01000352,357,324,208,147,66,27,6038934,6018531,5714183,5286191,4005183,2668142,348,257234,6035987,42153,17872,35,92,0.0
"Pseudomonas aeruginosa strain PAC76A IPC177_1.1, whole genome shotgun sequence",GCF_004373035.1_ASM437303v1_genomic.fna,NZ_RWRD01000001.1,aeruginosa,REFSEQ,1,1_RWRD01000001,60,57,51,50,42,39,6535510,6533046,6516098,6510685,6380125,6255818,60,434063,6535510,215198,112334,11,22,2.72
"Pseudomonas aeruginosa strain Pae_CF67.04o CF67.04o_contig_1, whole genome shotgun sequence",GCF_001024645.1_ASM102464v1_genomic.fna,NZ_LDMD01000001.1,aeruginosa,REFSEQ,1,1_LDMD01000001,134,91,65,59,50,39,6400360,6383457,6327268,6288815,6117594,5695796,102,570158,6390670,138463,90998,12,27,22.63
"Pseudomonas sp. 286 isolate p8.A9, whole genome shotgun sequence",GCF_900601385.1_p8.A9_genomic.fna,NZ_UWCX01000097.1,sp.,REFSEQ,4,4_UWCX01000097,97,14,14,12,12,10,6100825,6074695,6074695,6059671,6059671,5978695,14,1308798,6074695,854467,684114,3,5,0.0
"Pseudomonas citronellolis strain TTU2014-011ASC scaffold_1, whole genome shotgun sequence",GCF_001446995.1_ASM144699v1_genomic.fna,NZ_LKKN01000049.1,citronellolis,REFSEQ,91,91_LKKN01000049,137,106,92,81,66,41,6639296,6623007,6598218,6514312,6237748,5397745,118,431666,6631360,128089,63011,16,34,4.98
"Pseudomonas sp. 286 isolate p27.B1, whole genome shotgun sequence",GCF_900588805.1_p27.B1_genomic.fna,NZ_UUGL01000080.1,sp.,REFSEQ,4,4_UUGL01000080,80,24,21,21,18,17,5891274,5872744,5866016,5866016,5807159,5768298,28,1185381,5875527,502087,227774,4,9,0.0
"Pseudomonas sp. GV047 Ga0189750_101, whole genome shotgun sequence",GCF_003058245.1_ASM305824v1_genomic.fna,NZ_QCWA01000001.1,sp.,REFSEQ,4,4_QCWA01000001,39,39,30,28,24,24,6926455,6926455,6911533,6897653,6838965,6838965,39,1138919,6926455,537591,252101,5,10,14.96
"Pseudomonas aeruginosa strain AUS307 IPC507_1.1, whole genome shotgun sequence",GCF_003838645.1_ASM383864v1_genomic.fna,NZ_NSVZ01000001.1,aeruginosa,REFSEQ,1,1_NSVZ01000001,37,36,28,24,23,22,6769535,6768842,6749402,6725513,6709828,6664426,37,773252,6769535,439563,282594,6,10,1.82
"Pseudomonas azotoformans NBRC 12693, whole genome shotgun sequence",GCF_002091515.1_ASM209151v1_genomic.fna,NZ_BCZW01000001.1,azotoformans,REFSEQ,108,108_BCZW01000001,50,49,44,41,34,28,6683742,6683101,6669121,6644204,6522292,6317142,50,666269,6683742,348130,171306,8,15,0.0
"Pseudomonas sp. 286 isolate p25.H10, whole genome shotgun sequence",GCF_900587905.1_p25.H10_genomic.fna,NZ_UUDC01000040.1,sp.,REFSEQ,4,4_UUDC01000040,40,29,27,25,24,21,5949922,5946311,5943797,5929436,5910711,5801507,32,714674,5948083,519764,192125,5,11,0.0
"Pseudomonas sp. LTJR-52 chromosome, complete genome",GCF_003691465.1_ASM369146v1_genomic.fna,NZ_CP033105.1,sp.,REFSEQ,4,4_CP033105,1,1,1,1,1,1,5539211,5539211,5539211,5539211,5539211,5539211,1,5539211,5539211,5539211,5539211,1,1,0.0
"Pseudomonas aeruginosa isolate 109, whole genome shotgun sequence",GCF_900144475.1_109_genomic.fna,NZ_FRIC01000236.1,aeruginosa,REFSEQ,1,1_FRIC01000236,237,195,133,111,83,50,6952160,6926233,6776511,6629876,6176254,4998871,224,318921,6946363,87324,43377,26,55,0.0
"Pseudomonas sp. 286 isolate p8.H3, whole genome shotgun sequence",GCF_900602055.1_p8.H3_genomic.fna,NZ_UWFK01000970.1,sp.,REFSEQ,4,4_UWFK01000970,970,22,19,19,18,18,6716998,6370743,6363710,6363710,6340698,6340698,91,1125423,6411512,474572,326136,5,10,0.02
"Pseudomonas aeruginosa strain AZPAE14976 AZPAE14976_contig_1, whole genome shotgun sequence",GCF_000792115.1_AZPAE14976_genomic.fna,NZ_JTPS01000001.1,aeruginosa,REFSEQ,1,1_JTPS01000001,104,89,72,63,51,36,6631621,6620431,6575125,6514573,6300519,5709022,104,460324,6631621,168240,91698,13,26,54.03
"Pseudomonas aeruginosa strain AZPAE13879 AZPAE13879_contig_1, whole genome shotgun sequence",GCF_000795685.1_AZPAE13879_genomic.fna,NZ_JTZD01000001.1,aeruginosa,REFSEQ,1,1_JTZD01000001,132,122,75,62,52,42,6948193,6940694,6825288,6741139,6574614,6201795,132,578834,6948193,159310,84901,13,28,20.67
"Pseudomonas aeruginosa strain WH-SGI-V-07620 WH-SGI-V-07620_contig1, whole genome shotgun sequence",GCF_001453305.1_WH-SGI-V-07620_genomic.fna,NZ_LLQR01000001.1,aeruginosa,REFSEQ,1,1_LLQR01000001,58,39,32,30,26,22,6545940,6537826,6524169,6511726,6455605,6280182,43,896752,6540498,427498,205116,6,11,0.0
"Pseudomonas chlororaphis subsp. chlororaphis NBRC 3904, whole genome shotgun sequence",GCF_002091535.1_ASM209153v1_genomic.fna,NZ_BCZX01000001.1,chlororaphis,REFSEQ,14,14_BCZX01000001,36,34,29,27,25,17,6771652,6770299,6759971,6749212,6718813,6432331,36,1001084,6771652,568865,472561,5,8,0.0
"Pseudomonas aeruginosa strain S558_C10_BS S558_C10_BS_NODE_100_length_2663, whole genome shotgun sequence",GCF_002136005.1_ASM213600v1_genomic.fna,NZ_NFGA01000100.1,aeruginosa,REFSEQ,1,1_NFGA01000100,235,134,90,73,62,45,7166099,7102175,7012852,6900459,6705655,6041440,205,406161,7153495,137667,90982,18,35,11.23
"Pseudomonas aeruginosa strain 1311 1311_NODE_100_length_3714_cov_144.941, whole genome shotgun sequence",GCF_003863865.1_ASM386386v1_genomic.fna,NZ_RRBC01000100.1,aeruginosa,REFSEQ,1,1_RRBC01000100,142,119,93,81,56,35,6347873,6335478,6267175,6189563,5781440,5037276,131,499577,6343380,151234,60259,13,31,0.0
"Pseudomonas tremae strain CC1513 contig164.1, whole genome shotgun sequence",GCF_000452765.1_CC1513_092313_2.0_genomic.fna,NZ_AVEL02000164.1,tremae,REFSEQ,13,13_AVEL02000164,164,133,107,97,68,37,5725032,5709453,5646510,5574301,5034911,3887096,148,223068,5719730,85568,44682,22,46,0.0
"Pseudomonas sp. 286 isolate p11.B11, whole genome shotgun sequence",GCF_900576725.1_p11.B11_genomic.fna,NZ_USZW01000088.1,sp.,REFSEQ,4,4_USZW01000088,89,30,25,25,24,20,5999784,5979755,5970231,5970231,5950236,5795931,32,685202,5981224,497886,230236,5,11,0.0
"Pseudomonas putida strain SF1 Contig_1, whole genome shotgun sequence",GCF_001027965.1_ASM102796v1_genomic.fna,NZ_LDPF01000001.1,putida,REFSEQ,22,22_LDPF01000001,292,292,227,171,72,27,5805879,5805879,5654227,5237047,3556645,1987766,292,221072,5805879,34167,18967,50,110,0.0
"Pseudomonas sp. FFUP_PS_473 NODE_100_length_987_cov_17.215385_pilon, whole genome shotgun sequence",GCF_002858665.1_ASM285866v1_genomic.fna,NZ_PJQQ01000099.1,sp.,REFSEQ,4,4_PJQQ01000099,140,98,71,61,53,33,5338267,5319677,5264849,5193746,5050467,4333401,110,272844,5328463,134689,71780,15,28,0.0
"Pseudomonas sp. 286 isolate p11.E2, whole genome shotgun sequence",GCF_900580725.1_p11.E2_genomic.fna,NZ_UTBN01000050.1,sp.,REFSEQ,4,4_UTBN01000050,50,33,30,29,27,24,5966705,5960962,5953029,5945564,5910468,5807958,35,748379,5962199,310875,213518,7,13,0.02
"Pseudomonas aeruginosa strain SCH_ABX12 ABX12_contig000001, whole genome shotgun sequence",GCF_001990405.1_ASM199040v1_genomic.fna,NZ_MULF01000001.1,aeruginosa,REFSEQ,1,1_MULF01000001,79,63,47,43,39,31,6777246,6768378,6727643,6703649,6640784,6351396,73,806700,6775384,252247,140495,9,18,6.21
"Pseudomonas syringae pv. actinidiae strain NZ-47 chromosome, complete genome",GCF_001913235.1_ASM191323v1_genomic.fna,NZ_CP017009.1,syringae,REFSEQ,0,0_CP017009,3,3,3,3,3,3,6676278,6676278,6676278,6676278,6676278,6676278,3,6545910,6676278,6545910,6545910,1,1,0.0
"Pseudomonas sp. HMSC11A05 Scaffold0, whole genome shotgun sequence",GCF_001807925.1_ASM180792v1_genomic.fna,NZ_KV791469.1,sp.,REFSEQ,4,4_KV791469,137,122,95,85,67,40,6322964,6312293,6253872,6193285,5881386,4924821,137,320153,6322964,111910,56708,17,37,99.95
"Pseudomonas syringae pv. syringae strain A2 PssA2_Scaffold001, whole genome shotgun sequence",GCF_001293665.1_PsA2_genomic.fna,NZ_LGKU01000004.1,syringae,REFSEQ,0,0_LGKU01000004,23,23,20,17,14,14,5901107,5901107,5893490,5871477,5815038,5815038,23,935480,5901107,437980,355741,5,8,905.73
"Pseudomonas aeruginosa strain 66S100212BSL _PA1 IPC32_1.1, whole genome shotgun sequence",GCF_004375425.1_ASM437542v1_genomic.fna,NZ_RWVD01000001.1,aeruginosa,REFSEQ,1,1_RWVD01000001,57,50,38,30,28,22,6650818,6644859,6606021,6555803,6522701,6294279,57,1338873,6650818,418201,238690,6,11,2.93
